TIME1,TIME,HUMIDITY,TEMPERATURE,ABSOLUTE PRESSURE,PRESSURE IN HG,SEALEVEL PRESSURE,SEA LEVEL PRESSURE IN HG
1,[2019-10-31 19:16:01.414] ,69,26.3,915.76,27.05 inHg,939.24,27.74 inHg
2,[2019-10-31 19:20:46.462] ,77,26.1,916.67,27.07 inHg,940.17,27.77 inHg
3,[2019-10-31 19:30:46.919] ,77,26,919.63,27.16 inHg,943.2,27.86 inHg
4,[2019-10-31 19:40:47.380] ,87,25.4,920.54,27.19 inHg,944.13,27.88 inHg
5,[2019-10-31 19:50:47.836] ,89,25.2,920.61,27.19 inHg,944.21,27.89 inHg
6,[2019-10-31 20:00:48.292] ,89,25.1,920.55,27.19 inHg,944.15,27.88 inHg
7,[2019-10-31 20:10:48.748] ,90,25.2,920.5,27.19 inHg,944.09,27.88 inHg
8,[2019-10-31 20:20:49.209] ,90,25.2,920.4,27.18 inHg,943.99,27.88 inHg
9,[2019-10-31 20:30:49.663] ,90,25.1,920.44,27.18 inHg,944.03,27.88 inHg
10,[2019-10-31 20:40:50.109] ,89,25.1,920.21,27.18 inHg,943.8,27.87 inHg
11,[2019-10-31 20:50:50.569] ,90,25.1,920.26,27.18 inHg,943.85,27.88 inHg
12,[2019-10-31 21:00:51.030] ,91,25.1,920.29,27.18 inHg,943.88,27.88 inHg
13,[2019-10-31 21:10:51.490] ,86,25,920.03,27.17 inHg,943.61,27.87 inHg
14,[2019-10-31 21:20:51.951] ,86,25,920.06,27.17 inHg,943.65,27.87 inHg
15,[2019-10-31 21:30:52.396] ,88,25,919.88,27.17 inHg,943.46,27.86 inHg
16,[2019-10-31 21:40:52.857] ,82,25,919.55,27.16 inHg,943.12,27.85 inHg
17,[2019-10-31 21:50:53.317] ,87,25,919.57,27.16 inHg,943.14,27.85 inHg
18,[2019-10-31 22:00:53.778] ,86,25,919.37,27.15 inHg,942.94,27.85 inHg
19,[2019-10-31 22:10:54.223] ,86,25,919.36,27.15 inHg,942.93,27.85 inHg
20,[2019-10-31 22:20:54.684] ,85,25,919.17,27.15 inHg,942.73,27.84 inHg
21,[2019-10-31 22:30:55.145] ,89,25.1,919.72,27.16 inHg,943.3,27.86 inHg
22,[2019-10-31 22:40:55.605] ,91,24.9,919.96,27.17 inHg,943.54,27.87 inHg
23,[2019-10-31 22:50:56.050] ,86,24.9,919.63,27.16 inHg,943.2,27.86 inHg
24,[2019-10-31 23:00:56.511] ,91,24.8,919.73,27.16 inHg,943.31,27.86 inHg
25,[2019-10-31 23:10:56.972] ,91,24.8,919.91,27.17 inHg,943.49,27.86 inHg
26,[2019-10-31 23:20:57.417] ,91,24.8,919.96,27.17 inHg,943.54,27.87 inHg
27,[2019-10-31 23:30:57.877] ,92,24.9,920.27,27.18 inHg,943.86,27.88 inHg
